Nom du Restaurant,Ville,Catégorie,Note Google,Nombre d'Avis,Possède un Site Web,Site Web URL,Score de Complétude Profil (sur 10),Google Maps CID
"Cafe Kanter","Antibes","04 93 34 16 15       ""Très bon restaurant,  très bon steak tartare, très bon service.""",4.4,0,"Oui","https://cafe-kanter.eatbu.com/",6,"12605216790736407819"
"Brasserie au café","Antibes","04 92 90 08 67       ""Service parfait, nourriture excellente, prix intéressant.""",4.6,0,"Non","",5,"13689008159552648234"
"3 Brasseurs Antibes","Antibes","04 93 74 23 71       ""Accueil sympathique, ambiance brasserie, plats copieux et bon.""",4,0,"Oui","https://restaurants.3brasseurs.com/fr/france-FR/884/3-brasseurs-antibes/details",6,"17757119961157336511"
"Le Grand Barbu - Brasserie TYPSI'S Bar à cocktails Concerts live","Antibes","Brasserie59 Av. Philippe Rochat06 88 00 83 62       ""Ambiance feutrée, patron sympa bière artisanale""",4.9,0,"Non","",5,"15515607299156814961"
"Mistinguett cafe Brasserie Comptoir","Antibes","04 93 95 14 67       ""Nourriture  au top staff au top
Super ambiance""",4,0,"Oui","https://mistinguettcafebrasseriecomptoir.shop/",6,"4992435824330901609"
"Square sud - Le cafe glacier","Antibes","04 93 34 86 30       ""Superbe endroit, service impeccable et efficace, cuisine excellente, merci.""",4.1,0,"Oui","http://lesquaresud.fr/fr",6,"7508041310982621476"
"CRAFTAZUR - Brasserie Artisanale d'Antibes","Antibes","07 67 18 85 55       ""J’ai fait appel à Craftazur dans le cadre d’un anniversaire.""",5,0,"Oui","https://craftazur.fr/",6,"9908482636703532081"
"Le Patio Antibes","Antibes","04 93 34 42 66       ""La cuisine est excellente , l'ambiance y est conviviale et tres agreable .""",4.2,0,"Non","",5,"10396407128430814667"
"La Môme Monte-Carlo","Monaco","Restaurant",4.7,1,"Oui","https://lamomemontecarlo.com/",5,"14494629078830784097"
"Caffè Milano","Monaco","Restaurant",4.7,3,"Oui","https://www.caffemilano.mc/",6,"17003971645630163726"
"Chez Pierre - French Restaurant in Monaco with Bar","Monaco","Française",4.9,568,"Oui","https://chezpierre.mc/",7,"7417235480731680803"
"Buddha-Bar Monte-Carlo","Monaco","Restaurant",4.5,2,"Oui","https://www.montecarlosbm.com/fr/restaurant-monaco/buddha-bar-monte-carlo",5,"8806547753368085528"
"Giacomo","Monaco","Italienne",4.6,2,"Oui","https://www.bigmammagroup.com/fr/restaurants-italiens/giacomo?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website",6,"12734224243589245711"
"La Note Bleue","Monaco","Restaurant",4.5,1,"Oui","http://lanotebleue.mc/",5,"2970254160614618866"
"Les Perles de Monte-Carlo","Monaco","Fruits de mer",4.8,756,"Non","",6,"9058716589738505411"
"Zeffirino Monaco","Monaco","Italienne",4.7,372,"Oui","https://zeffirino-restaurant.com/monaco/",7,"11072659069838734051"
