nom_restaurant,ville,categorie,note_google,nombre_avis,possede_site_web,url_site_web,score_completude_profil,google_maps_cid
La Pizza Cresci - Cannes,Cannes,Pizza,4.1,7,true,https://www.pizza-cresci-cannes.com/,6,5322692891778722287
Biererie By Brasserie Du Casino,Cannes,Restaurant,4.1,405,true,https://foodandgood.fr/biererie-by-brasserie-du-casino,8,9884098334214871657
New-York New-York,Cannes,Restaurant,4.1,6,true,http://www.nynycannes.com/,6,11126788354783083493
La Californie - Cannes,Cannes,Française,3.8,1,true,http://www.lacalifornie-cannes.com/,5,13321092392811150808
DA GENNARO,Fréjus,Pizzas à emporter,5,358,false,,7,3773127272384724208
Casa gusto,Fréjus,Pizza,4.9,61,false,,7,11136004637683222498
Le Mahana,Fréjus,Brasserie,4.9,137,false,,7,13414380965151418014
CALM Restaurant • Bar à huîtres Port Fréjus,Fréjus,Fruits de mer,4.9,152,true,https://www.calm-restaurant-frejus.fr/,7,5859073446314273055
La Bohème,Fréjus,Restaurant,4.8,182,true,https://www.facebook.com/share/1GTKh722KZ,8,10770436080803857766
Restaurant Le 43,Fréjus,Restaurant,4.8,974,true,http://www.le43frejus.fr/,8,2094160767073754461
Le P'tit Resto,Fréjus,Plats familiaux,4.8,765,false,,7,13408840944222879084
LES COPAINS D'ABORD,Fréjus,Restaurant,4.8,191,false,,7,13121885633508776345
Accènto,Fréjus,Italienne,4.8,1,true,https://accentorestaurant.fr/,6,7889496070802839439
L'Entrée des Artistes,Fréjus,Restaurant,4.8,394,true,http://lentreedesartistes-restaurant.eatbu.com/,8,11714635717105147210
Le Caractère,Fréjus,Restaurant,4.8,325,true,https://www.lecaractere.fr/,8,13798116003852406815
Pizza N'Cơ,Fréjus,Pizza,4.8,717,true,https://www.pizzanco.net/,8,7523575426509226690
Pizzeria Galdo,Fréjus,Pizza,4.8,181,true,https://www.instagram.com/galdo_vincenzo,8,14827794939124539688
La Fontanina,Fréjus,Pizzas à emporter,4.8,412,true,http://www.lafontanina.fr/,8,14429497680304858145
Don Pizza Chez Ferrara,Fréjus,Pizza,4.7,453,false,,7,2995077878688523840
Le comptoir D'adriano Fréjus,Fréjus,Pizza,4.7,939,false,,7,4043862780909491413
Ma Pizz',Fréjus,Pizza,4.7,423,false,,7,7148549547770406943
La table de Guillôme à l’hôtel l’Arena,Fréjus,Restaurant,4.6,233,true,https://hotel-frejus-arena.com/fr,8,4075721276570803001
Autres Ray'Son,Fréjus,Française,4.6,845,true,https://www.tables-auberges.com/hotels-restaurants/83-var/frejus/27-restaurant-autres-rayson,8,15966615497101780029
DiP restaurant,Fréjus,Plats familiaux,4.6,1,true,http://www.diprestaurant.fr/,6,6264890883768688089
La Bastide du Clos des Roses,Fréjus,Restaurant,4.6,632,true,http://www.closdesroses.com/,8,1618833544203079174
Madre mia pizzeria,Fréjus,Restaurant,4.6,540,true,https://madre-mia.fr/,8,12277626630414499934
L'Amandier,Fréjus,Restaurant,4.5,260,true,http://www.restaurant-lamandier-frejus.com/,8,15186863440969126999
Les Sablettes,Fréjus,Française,4.2,7,false,,4,17310308602893675751
La Terrasse port Fréjus,Fréjus,Brasserie,4.2,173,false,,7,1807127122845825183
La Bocca,Fréjus,Pizza,4.1,2,false,,5,9815435600436843150
Brasserie le Palais,Fréjus,Brasserie,4.1,454,true,https://www.brasserie-le-palais-restaurant-frejus.fr/,8,18417842081620253750
Évasion: Restaurant - Brasserie - Port Fréjus,Fréjus,Restaurant,3.9,2,true,http://www.levasion.net/,4,3486660587173505641
Restaurant Edelweiss,Grasse,Française,5,48,false,,6,6081092770023906645
Restaurant Cocotte,Grasse,Restaurant,4.9,481,false,,6,10727537105669488158
Le vieux camion,Grasse,Pizza,4.9,199,true,https://www.pizzerialevieuxcamion.com/,8,10696077688775252603
La Station pizza,Grasse,Pizza,4.9,446,true,https://www.facebook.com/stationpizzagrasse,8,4194472778416230863
Les Delicatesses de Grasse,Grasse,Petites portions à partager,4.8,753,true,https://lesdelicatessesdeg.wixsite.com/,8,16168055175179008778
Au Fil du Temps,Grasse,Française,4.8,544,true,https://www.au-fil-du-temps-restaurant-grasse.fr/,8,16387801666663999749
Roses et Mets,Grasse,Française,4.8,140,true,http://roses-et-mets.fr/,8,13167316015977083732
Bohème,Grasse,Restaurant,4.8,1,true,http://www.boheme-mougins.com/,5,11893140665691088304
La Casa Nostra chez Claudio - Pizza à emporter - Grasse,Grasse,Pizza,4.8,215,true,https://www.pizza-casa-nostra.fr/,8,10977403964838218475
Pizzeria La Planoise,Grasse,Pizza,4.8,155,false,,7,4784324941393379060
Pizza Chez Ange,Grasse,Pizza,4.8,132,false,,7,8579850335119200263
L'autentica,Grasse,Pizza,4.8,92,true,https://www.facebook.com/lautentica06,8,3755202011188143524
La Fleur de Lys,Grasse,Française,4.7,564,false,,7,3650146133756044705
SAS PIZZERIA DEL GUSTO ( ex MOZART ),Grasse,Pizza,4.7,76,false,,7,10420137128633589360
Restaurant Le Mas du Calme à Grasse,Grasse,Restaurant,4.6,261,true,https://www.facebook.com/RestaurantLeMasduCalme,8,17765918169393443965
La Tannerie,Grasse,Restaurant,4.6,242,true,http://latanneriegrasse.site/,8,16880153501956073797
Bistrot 34,Grasse,Restaurant,4.6,524,true,https://bistrot34.fr/,8,4286421965625843603
Le Brassi Restaurant,Grasse,Restaurant,4.6,32,true,https://casinograsse.fr/,7,5078096358669091027
BISTROT LOUGOLIN,Grasse,Restaurant,4.5,1,true,http://lougolin.com/,6,6957225041481689252
Le Paddock,Grasse,Restaurant,4.5,1,true,http://www.lepaddockgrasse.fr/,6,2593999489842507456
La Bastide Saint-Antoine - Jacques Chibois,Grasse,Restaurant,4.5,773,true,http://jacques-chibois.com/,8,1110881163631403822
TAVERNE DE L’ORATOIRE,Grasse,Restaurant,4.5,351,true,https://taverne-de-l-oratoire.fr/,8,567400484249335859
L'Imprévu Restaurant Lounge,Grasse,Restaurant,4.5,177,true,https://www.limprevu-06.fr/,8,8748765976110430102
Restaurant Mick'elly Pizzeria,Grasse,Pizza,4.4,1,true,https://www.facebook.com/PizzeriaMickelly,6,9518900382481090642
Le monde des saveurs,Grasse,Restaurant,4.4,39,false,,6,9090060565830808125
Restaurant brasserie Saint Jacques,Grasse,Restaurant,4.4,171,true,https://www.restaurant-pub-brasserie-le-saint-jacques.fr/,8,15419127458186184415
Brasserie L'Azuréenne,Grasse,Microbrasserie,4.4,13,true,https://brasserie-lazureenne.com/,7,15152241028034396153
La Brasserie Des Artistes,Grasse,Restaurant,4.3,743,false,,7,15477195160373041536
La Brasserie,Grasse,Brasserie,4,148,true,https://www.la-brasserie-grasse.fr/,8,3273522056639571285
Bella Napoli,Grasse,Pizza,3.9,823,true,https://www.allo-pizza.info/pizza/pizzeria-bella-napoli-grasse-06130,7,9621665244808625958
Bessem Restaurant,Mandelieu-la-Napoule,Cuisine gastronomique,4.9,472,true,https://www.bessem-restaurant.com/,8,9216526368703209475
L' aparté pizzeria,Mandelieu-la-Napoule,Pizza,4.9,310,false,,7,13620185172221816958
Cap pizza,Mandelieu-la-Napoule,Pizza,4.9,154,true,http://linktr.ee/cap_pizza,8,12236910860963681318
Brasserie L'évidence,Mandelieu-la-Napoule,Brasserie,4.8,222,false,,6,17523514419374185425
La Cigogne,Mandelieu-la-Napoule,Restaurant,4.8,282,false,,7,10760738814820610730
L'Or Bleu,Mandelieu-la-Napoule,Restaurant,4.8,261,true,https://yaktsa.tiara-hotels.com/fr/page/restaurant-l-or-bleu.11,7,6505968144575409861
L'Atelier Cojàne,Mandelieu-la-Napoule,Brunch,4.7,214,true,http://www.lateliercojane.com/,8,18188696900534879843
la ch'ti alsace,Mandelieu-la-Napoule,Restaurant,4.7,207,true,https://restaurantlachtialsace.eatbu.com/,8,18134668065045615988
La Palméa,Mandelieu-la-Napoule,Restaurant,4.6,480,true,https://www.la-palmea-restaurant-mandelieu-la-napoule.fr/,8,4833095049280057791
Le Bellini,Mandelieu-la-Napoule,Cuisine française moderne,4.6,577,true,https://le-bellini.eatbu.com/?lang=fr,8,13093695099291052288
L'Umbria,Mandelieu-la-Napoule,Pizza,4.6,86,true,https://www.facebook.com/LUmbria-Pizzeria-1556770734639572,8,10244007562363911645
La part a pizza,Mandelieu-la-Napoule,Pizza,4.6,142,true,http://www.lapartapizza.fr/,8,11961394915071372917
Maxi Pizza Mandelieu,Mandelieu-la-Napoule,Pizzas à emporter,4.6,40,false,,6,7103806971947190903
Regina Di Napoli Champion de France de Pizza,Mandelieu-la-Napoule,Pizzas à emporter,4.6,366,true,https://reginadinapoli.com/cannes,7,6546822045225645351
Le Sulky,Mandelieu-la-Napoule,Brasserie,4.6,237,false,,7,2078900332622791774
Le Lapsuce Mandelieu,Mandelieu-la-Napoule,Bar à bières,4.6,391,true,https://www.facebook.com/lelapsucemandelieu,7,4361934226038326006
Restaurant La Rotonde,Mandelieu-la-Napoule,Restaurant,4.5,557,true,http://www.larotondemandelieu.fr/,8,15610977926465092586
Lombardi's Pizza Mandelieu,Mandelieu-la-Napoule,Pizza,4.5,558,true,http://www.lombardis-pizza.fr/,8,3693000805519518534
Aspizza,Mandelieu-la-Napoule,Pizza,4.5,206,false,,7,1262050358151136435
Restaurant Le Boucanier,Mandelieu-la-Napoule,Restaurant,4.4,1,true,https://boucanier.fr/en/the-restaurant,6,14979024755751629103
Restaurant Les Bartavelles - Mandelieu-la-Napoule,Mandelieu-la-Napoule,Française,4.4,362,true,http://www.restaurantlesbartavelles.com/,8,9552670042287474855
